Mr,22
mR,16
mr,26
MS,17
Ms,22
mS,21
ms,18
MT,14
Mt,28
mT,16
mt,13
MU,19
Mu,30
mU,11
mu,15
MV,15
Mv,15
mV,18
mv,15
MW,18
Mw,17
mW,14
mw,20
MX,16
Mx,16
mX,13
mx,24
MY,13
My,19
mY,20
my,16
MZ,17
Mz,37
mZ,17
mz,25
M_,20
m_,19
N-,10
n-,22
N0,26
n0,17
N1,14
n1,10
N2,20
n2,15
N3,21
n3,15
N4,20
n4,15
N5,10
n5,18
N6,22
n6,23
N7,21
n7,17
N8,15
n8,15
N9,18
n9,19
NA,26
Na,20
nA,19
na,23
NB,22
Nb,19
nB,21
nb,21
NC,12
Nc,13
nC,14
nc,25
ND,25
Nd,14
nD,15
nd,14
NE,20
Ne,27
nE,19
ne,19
NF,22
Nf,16
nF,12
nf,25
NG,12
Ng,22
nG,19
ng,24
NH,20
Nh,25
nH,17
nh,17
NI,21
Ni,20
nI,22
ni,29
NJ,15
Nj,17
nJ,16
nj,18
NK,13
Nk,19
nK,13
nk,20
NL,21
Nl,17
nL,11
nl,10
NM,15
Nm,20
nM,15
nm,20
NN,19
Nn,21
nN,15
nn,11
NO,23
No,17
nO,25
no,12
NP,17
Np,29
nP,20
np,9
NQ,24
Nq,22
nQ,19
nq,16
NR,13
Nr,20
nR,21
nr,14
NS,11
Ns,16
nS,14
ns,18
NT,11
Nt,17
nT,23
nt,15
NU,16
Nu,21
nU,14
nu,21
NV,21
Nv,25
nV,20
nv,14
NW,11
Nw,17
nW,21
nw,14
NX,21
Nx,16
nX,13
nx,17
NY,17
Ny,21
nY,15
ny,24
NZ,14
Nz,19
nZ,14
nz,12
N_,20
n_,11
O-,18
o-,12
O0,19
o0,20
O1,13
o1,16
O2,18
o2,18
O3,17
o3,16
O4,16
o4,18
O5,17
o5,12
O6,19
o6,21
O7,19
o7,12
O8,10
o8,16
O9,20
o9,18
OA,16
Oa,19
oA,17
oa,15
OB,27
Ob,26
oB,13
ob,18
OC,12
Oc,17
oC,21
oc,14
OD,21
Od,14
oD,13
od,20
OE,23
Oe,18
oE,17
oe,19
OF,18
Of,22
oF,14
of,20
OG,18
Og,17
oG,16
og,18
OH,19
Oh,18
oH,20
oh,20
OI,18
Oi,22
oI,16
oi,14
OJ,19
Oj,17
oJ,16
oj,18
OK,23
Ok,8
oK,14
ok,19
OL,19
Ol,20
